"","hi","n"
"38","extra parliamentary-eulogizing the nation and proposing principles-the house of lords",3
"39","the formalities of presenting in parliament-amending legislation-the tithe",4
"40","the formalities of presenting in parliament-amending legislation-charitable organizations",5
"41","the formalities of presenting in parliament-amending legislation-unemployment starvation and emigration",4
"42","the formalities of presenting in parliament-amending legislation-introducing a new subject of debate",3
"43","the organization of state and war-navy-slavery and trade",3
"44","the organization of state and war-navy-school boards",5
"45","the organization of state and war-navy-local rates ie taxes for local government esp from land",4
"46","the organization of state and war-navy-religious schools",5
"47","the organization of state and war-navy-officers and other volunteers",3
"48","the organization of state and war-navy-questions for the treasury",7
"49","the organization of state and war-navy-marriage and divorce",6
"50","the organization of state and war-navy-the post office",6
"51","revenue and expenditure-officials and salaries-guns and supplies for the army",2
"52","revenue and expenditure-officials and salaries-colonial and local government of ireland",2
"53","revenue and expenditure-officials and salaries-reducing expenditure",8
"54","revenue and expenditure-officials and salaries-the army and its pay",5
"55","the formalities of presenting in parliament-court system-eulogizing character and feeling",4
"56","the formalities of presenting in parliament-court system-popular petitions",7
"57","the formalities of presenting in parliament-court system-contagious animal diseases",7
"58","the formalities of presenting in parliament-court system-landlord compensation of tenants for improvements with the court as intermediary",5
"59","the formalities of presenting in parliament-local institutions and parliamentary regulations-shipping companies",6
"60","the formalities of presenting in parliament-local institutions and parliamentary regulations-eulogizing national history",4
"61","the formalities of presenting in parliament-local institutions and parliamentary regulations-poor law unions",5
"62","the formalities of presenting in parliament-local institutions and parliamentary regulations-retirement pensions for the civil service",5
"63","the formalities of presenting in parliament-local institutions and parliamentary regulations-the ships and docks of the admiralty",5
"64","the formalities of presenting in parliament-local institutions and parliamentary regulations-board of trade and its purview",2
"65","the formalities of presenting in parliament-local institutions and parliamentary regulations-municipal government",5
"66","the formalities of presenting in parliament-local institutions and parliamentary regulations-police and constabulary",9
"67","the formalities of presenting in parliament-local institutions and parliamentary regulations-banks and paper currency",4
"68","revenue and expenditure-eulogizing parliament and interrogating the important matters of the moment-eulogy to parliament's work",4
"69","revenue and expenditure-eulogizing parliament and interrogating the important matters of the moment-the corn laws and agricultural prices",8
"70","revenue and expenditure-eulogizing parliament and interrogating the important matters of the moment-railways as publicly traded companies",3
"71","revenue and expenditure-eulogizing parliament and interrogating the important matters of the moment-treaties and war negotiations",7
"72","revenue and expenditure-eulogizing parliament and interrogating the important matters of the moment-judges",7
"73","revenue and expenditure-eulogizing parliament and interrogating the important matters of the moment-customs and taxes on cotton and other imports",6
"74","the formalities of presenting in parliament-customs sugar manufacture and the corn laws-discussion of whether business will proceed now or later",4
"75","the formalities of presenting in parliament-customs sugar manufacture and the corn laws-troops sent abroad",9
"76","the formalities of presenting in parliament-customs sugar manufacture and the corn laws-the subjects to be debated in general",4
"77","the formalities of presenting in parliament-customs sugar manufacture and the corn laws-expenses for the treasury",4
"78","the formalities of presenting in parliament-customs sugar manufacture and the corn laws-prosecution advocates attorneys in the crown court",4
"79","the formalities of presenting in parliament-business in the house of commons and the select committees-civil service appointments",6
"80","the formalities of presenting in parliament-business in the house of commons and the select committees-principles characterizing reform or party",3
"81","the formalities of presenting in parliament-business in the house of commons and the select committees-motions and resolutions",9
"82","the formalities of presenting in parliament-business in the house of commons and the select committees-the value of tenant improvements",4
"83","the formalities of presenting in parliament-business in the house of commons and the select committees-infrastructure",4
"84","extra parliamentary-crime and punishment-official questions on legislation",3
"85","extra parliamentary-crime and punishment-reports from commisisions of inquiries",6
"86","extra parliamentary-crime and punishment-the wording of a proposed bill",5
"87","extra parliamentary-crime and punishment-public health",3
"88","the organization of state and war-church and state-review of government accounts",2
"89","the organization of state and war-church and state-crime sentencing",2
"90","the organization of state and war-church and state-bishop and organization",2
"91","the organization of state and war-church and state-official letters and statements",8
"92","the organization of state and war-church and state-evidence and guilt",3
"93","the organization of state and war-church and state-spending money on public works and museums",3
"94","revenue and expenditure-introducing subjects in the house of lords-universities",3
"95","revenue and expenditure-introducing subjects in the house of lords-party agenda",10
"96","revenue and expenditure-introducing subjects in the house of lords-calculating annual expenditure",4
"97","revenue and expenditure-introducing subjects in the house of lords-existing legislation",5
"98","revenue and expenditure-introducing subjects in the house of lords-the cost of government proposals",4
"99","revenue and expenditure-introducing subjects in the house of lords-colonial administration probably in china",5
"100","revenue and expenditure-introducing subjects in the house of lords-supporting and proposing new clause in bill",4
